timestamp_ny,script_timestamp_my,currency,ctousd,bid_price,ask_price,high_price,low_price,unit_ounce,unit_gram,unit_kilo,unit_pennyweight,unit_tola,unit_tael
2025-12-11 16:02:03,2025-12-12 05:02:03,CNY,7.0581499999999995,30176.41,30190.53,30257.58,29670.35,30176.41,970.21,970209.13,1508.82,11316.19,36672.74
2025-12-11 17:02:02,2025-12-12 06:02:02,CNY,7.0581499999999995,30202.53,30216.65,30257.58,29670.35,30202.53,971.06,971048.77,1510.16,11325.93,36704.50
2025-12-11 18:02:02,2025-12-12 07:02:02,CNY,7.0581499999999995,30202.53,30216.65,30257.58,29670.35,30202.53,971.06,971048.77,1510.16,11325.93,36704.50
2025-12-11 19:02:02,2025-12-12 08:02:02,CNY,7.0581499999999995,30175.71,30189.82,30237.11,30153.12,30175.71,970.14,970186.41,1508.82,11315.91,36671.89
2025-12-11 20:02:02,2025-12-12 09:02:02,CNY,7.058199999999999,30134.28,30148.40,30237.33,30125.81,30134.28,968.81,968854.41,1506.71,11300.39,36621.54
2025-12-11 21:02:02,2025-12-12 10:02:02,CNY,7.0565999999999995,30133.09,30147.21,30230.47,30089.34,30133.09,968.80,968816.28,1506.65,11299.95,36620.08
2025-12-11 22:02:02,2025-12-12 11:02:02,CNY,7.05565,30130.45,30144.56,30226.40,30085.29,30130.45,968.74,968731.22,1506.52,11298.92,36616.85
2025-12-11 23:02:03,2025-12-12 12:02:03,CNY,7.0558,30126.85,30140.97,30227.05,30085.93,30126.85,968.62,968615.71,1506.34,11297.61,36612.48
2025-12-12 00:02:03,2025-12-12 13:02:03,CNY,7.0557,30096.09,30110.20,30226.62,30085.50,30096.09,967.62,967626.53,1504.84,11286.02,36575.13
2025-12-12 01:02:02,2025-12-12 14:02:02,CNY,7.0555,30187.66,30201.77,30225.76,30084.65,30187.66,970.55,970570.74,1509.38,11320.41,36686.41
2025-12-12 02:02:02,2025-12-12 15:02:02,CNY,7.055400000000001,30208.40,30222.51,30225.33,30084.23,30208.40,971.25,971237.54,1510.42,11328.15,36711.57
2025-12-12 03:02:03,2025-12-12 16:02:03,CNY,7.0555,30255.40,30269.51,30276.56,30084.65,30255.40,972.74,972748.42,1512.77,11345.81,36768.75
2025-12-12 04:02:02,2025-12-12 17:02:02,CNY,7.055199999999999,30394.51,30408.62,30408.62,30083.37,30394.51,977.22,977221.04,1519.76,11397.96,36937.78
2025-12-12 05:02:02,2025-12-12 18:02:02,CNY,7.05645,30456.34,30470.46,30493.74,30088.70,30456.34,979.22,979209.17,1522.85,11421.15,37012.91
2025-12-12 06:02:02,2025-12-12 19:02:02,CNY,7.055149999999999,30545.98,30560.09,30560.79,30083.16,30545.98,982.08,982091.06,1527.30,11454.74,37121.87
2025-12-12 07:02:02,2025-12-12 20:02:02,CNY,7.0547,30594.12,30608.23,30618.81,30081.24,30594.12,983.64,983638.80,1529.74,11472.78,37180.39
2025-12-12 08:02:02,2025-12-12 21:02:02,CNY,7.0547,30488.30,30502.41,30618.81,30081.24,30488.30,980.25,980236.53,1524.45,11433.13,37051.78
2025-12-12 09:02:03,2025-12-12 22:02:03,CNY,7.05475,30618.32,30632.43,30665.59,30081.45,30618.32,984.42,984416.92,1530.95,11481.89,37209.79
2025-12-12 10:02:02,2025-12-12 23:02:02,CNY,7.05475,30661.35,30675.46,30718.50,30081.45,30661.35,985.76,985800.57,1533.07,11498.04,37262.06
